image,pc_latency_ms,luckfox_latency_ms,pc_detections,luckfox_detections,luckfox_status,updated_at,Lane_1_pc,Lane_2_pc,Lane_3_pc,Lane_1_luckfox,Lane_2_luckfox,Lane_3_luckfox
img00160.jpg,34.369,0.000,8,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,2,2,4,0,0,0
img00161.jpg,35.096,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00162.jpg,33.740,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00163.jpg,34.925,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00164.jpg,37.524,0.000,6,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,0,2,4,0,0,0
img00165.jpg,34.584,0.000,8,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,2,2,4,0,0,0
img00166.jpg,35.598,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,1,2,4,0,0,0
img00167.jpg,33.093,0.000,8,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,2,2,4,0,0,0
img00168.jpg,33.053,0.000,8,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:10,2,2,4,0,0,0
img00169.jpg,32.702,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00170.jpg,34.525,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00171.jpg,32.697,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00172.jpg,39.905,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00173.jpg,32.894,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00174.jpg,36.329,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00175.jpg,33.696,0.000,8,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,2,2,4,0,0,0
img00176.jpg,36.384,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00177.jpg,33.810,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,2,2,3,0,0,0
img00178.jpg,35.570,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,2,2,3,0,0,0
img00179.jpg,33.778,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00180.jpg,42.514,0.000,7,0,ADB device not ready. Connect/authorize Luckfox and retry.,2026-04-25T01:17:11,1,2,4,0,0,0
img00181.jpg,33.351,81.728,8,8,OK,2026-04-23T15:10:09,1,2,5,1,2,5
